Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons,tau protein
FASLG,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
FBXO28,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
FBXO40,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FCAR,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FCER1A,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE
FCRL2,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE
FCRL3,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
FCRL6,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FGF19,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
FGF2,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
FGF21,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
FGF23,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
FGF5,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
FGFBP3,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
FGR,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
FHIT,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FKBP10,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FKBP15,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FKBP4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FKBP5,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
FKBPL,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FLRT2,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
FLT3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FLT3LG,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
FMNL1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FNDC1,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
FNTA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FOLH1,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
FOXJ3,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
FOXO1,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE
FOXO3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FRZB,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE
FSTL1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FURIN,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
FUS,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
FUT8,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
FXYD5,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
FYCO1,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
GALNT10,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
GALNT2,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
GALNT3,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE
GAP43,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
GBA1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GBP2,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
GBP3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GCG,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
GCNT1,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
GDNF,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GFAP,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
GFER,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GFRA1,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE
GFRA2,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE
GFRA3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GFRAL,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GIT1,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
GLIPR1,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
GLRX2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GMPR,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
GOPC,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
GP2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GPA33,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
GPC1,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
GPC5,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
GPD1,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
GPIHBP1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GPR15LG,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
GPR37,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
GRP,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
GRPEL1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GSDMD,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
GSTP1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
GZMA,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
GZMB,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
GZMH,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
HAO1,TRUE,FALSE,TRUE,TRUE,FALSE,3,FALSE
HAVCR1,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
HBEGF,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
HCLS1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
HDAC5,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
HDAC9,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE
HEPH,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
HGF,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
HHEX,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
HIF1A,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
HLA-A,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
HMBS,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
HMOX2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
HNMT,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE
HNRNPA0,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
HNRNPUL1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
HOMER3,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
HPGDS,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
HRAS,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE
HRC,TRUE,FALSE,FALSE,FALSE,TRUE,2,TRUE
HRH1,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
HS6ST2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
HSD11B1,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
HSP90B1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
HSPA13,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
HSPB6,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
ICA1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
ICAM4,TRUE,TRUE,FALSE,TRUE,FALSE,3,FALSE
ICOSLG,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
IDO1,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
IDS,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IDUA,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE
IFI30,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE
IFIT1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IFIT3,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
IFNAR1,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
IFNB1,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
IFNG,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
IFNGR1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IFNGR2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IFNL4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IFNLR1,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
IGBP1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IGF1R,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
IGFL4,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
IGSF3,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
IKBKG,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
IL10,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
IL10RA,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
IL11,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL11RA,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
IL12A_IL12B,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE
IL12B,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
IL12RB1,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
IL13,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL15,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL15RA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL16,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
IL17A,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
IL17C,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
IL17D,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE
IL17F,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
IL17RB,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL18,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
IL18R1,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
IL18RAP,TRUE,FALSE,TRUE,TRUE,FALSE,3,FALSE
IL1A,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
IL1B,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
IL1RL2,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
IL2,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
IL20,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL20RA,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
IL22,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
IL22RA1,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE
IL23R,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
IL2RB,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE
IL31RA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL32,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
IL33,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
IL36B,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE
IL36G,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
IL3RA,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
IL4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL4R,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE
IL5RA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IL6,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE
IL7,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
IL9,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
IMPA1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
INPP1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
INPP5D,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
INPPL1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
INSL5,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
IPCEF1,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
IQGAP2,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
IRAG2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
IRAK1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
IRAK1BP1,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
IRAK4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ISM1,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
ITCH,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
ITGA11,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
ITGAL,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
ITGAV,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ITGB1BP2,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
ITGB6,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
ITGB7,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE
ITM2A,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
ITPR1,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE
JTB,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
KDR,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
KEL,TRUE,TRUE,FALSE,TRUE,FALSE,3,FALSE
KHK,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
KIAA0319,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
KIAA0319L,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
KIF22,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE
KIF4A,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE
KIFAP3,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
KIR2DL2_KIR2DL3,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
KIR3DL1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
KITLG,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
KLB,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
KLHL41,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
KLK13,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
KLK15,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
KLRB1,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
KLRD1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
KLRF1,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
KLRK1,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE
KRT19,FALSE,TRUE,TRUE,FALSE,FALSE,2,TRUE
KRT5,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
KYAT1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
KYNU,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
L1CAM,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
LAG3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
LAIR2,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE
LAMB1,TRUE,TRUE,FALSE,FALSE,TRUE,3,FALSE
LAMP3,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
LAT,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
LAT2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
LATS1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
LAYN,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
LCK,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
LCN15,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
LEFTY2,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
LGALS7,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
LIF,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE
LIFR,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
LILRB4,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
LIPF,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE
LMNB1,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
LMNB2,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
LMOD1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
LPL,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
LPO,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
LRCH4,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
LRIG1,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
LRRC25,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
LRRC37A2,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
LRRFIP1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
LRRN1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
LTA4H,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
LTBP3,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE
LTK,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
LUZP2,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
LXN,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
LY75,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
LY9,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
LY96,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
MAD1L1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
MAFB,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
MAG,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MAN1A2,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
MAP2K1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MAP2K6,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MAP3K5,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
MAP4K5,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
MAPK9,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MAPKAP1,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
MAPKAPK2,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
MAPT,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
MASP1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
MATN3,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
MAVS,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MCF2L,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MDGA1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MECR,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
MEF2C,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
MELTF,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MEP1A,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
METAP1D,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
METAP2,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
MICA_MICB,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
MILR1,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
MINDY2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MKI67,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE
MKNK1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MLN,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
MME,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
MMP10,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
MMP12,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE
MMP13,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE
MOG,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MORC3,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
MPP7,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
MPST,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MS4A1,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
MSLN,TRUE,FALSE,TRUE,FALSE,TRUE,3,FALSE
MSTN,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
MTAP,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MTDH,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
MUC13,TRUE,FALSE,TRUE,TRUE,FALSE,3,FALSE
MUC16,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE
MUC20,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
MVK,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
MYL11,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
MYL3,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE
MYO1E,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
MYO9B,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
NAAA,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE
NACC1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NAGA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NAGK,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NAPRT,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NBEAL2,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE
NBN,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
NCAN,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NCF1C_NCF1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NCKIPSD,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
NCR1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NCR3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NCR3LG1,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
NCS1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NDRG1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NDUFA5,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NDUFAF2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NDUFB7,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
NDUFS6,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
NECAB2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NEFL,TRUE,FALSE,TRUE,FALSE,TRUE,3,TRUE
NELL1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
NEO1,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
NFAT5,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE
NFATC1,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
NFATC3,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE
NFKB1,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
NFKBIE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NFU1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NFX1,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
NHEJ1,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
NIT1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NLGN1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
NMI,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
NOS1,TRUE,FALSE,TRUE,TRUE,TRUE,4,FALSE
NOS2,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
NOS3,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE
NPHS1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NPM1,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
NPPC,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
NPTXR,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NPY,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
NQO1,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
NRTN,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
NT5C1A,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
NTF3,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
NUB1,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE
NUCB2,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
NUDC,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NUDCD3,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NUMB,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NUP50,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
NXPH3,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE
OBP2B,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE
OCLN,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE
ODAM,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
OGA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
OGFR,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
OSM,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
OTUD7B,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
PADI2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
PADI4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
PAEP,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE
PAG1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
PALM,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
PALM2,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
PAPPA,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE
PARP1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
PBXIP1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
PCBP2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
PCDH12,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
PCDH7,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
PCDH9,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
PCDHB15,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
PCNA,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
