Assay	OlinkID	LOD	Missing_data	Below_LOD	Valid_data
CLSTN2	OID50503	NA	0	0	12
CLSTN3	OID50504	NA	0	0	12
CNP	OID50505	NA	0	0	12
CNPY4	OID50506	NA	0	0	12
CNTN2	OID50507	NA	0	0	12
CNTNAP2	OID50508	NA	0	0	12
COL24A1	OID50509	NA	0	0	12
COL28A1	OID50510	NA	0	0	12
COL9A1	OID50511	NA	0	0	12
COMMD9	OID50512	NA	0	0	12
COMT	OID50513	NA	0	0	12
CPE	OID50514	NA	0	0	12
CPVL	OID50515	NA	0	0	12
CRADD	OID50516	NA	0	0	12
CRISP2	OID50517	NA	0	0	12
CRNN	OID50518	NA	0	0	12
CRTAM	OID50519	NA	0	0	12
CRYZL1	OID50520	NA	0	0	12
CSF2RB	OID50522	NA	0	0	12
CSF3R	OID50523	NA	0	0	12
CSRP3	OID50524	NA	0	0	12
CST5	OID50525	NA	0	0	12
CTH	OID50526	NA	0	0	12
CTRL	OID50527	NA	0	0	12
CTSH	OID50528	NA	0	0	12
CTSO	OID50529	NA	0	0	12
CTSV	OID50530	NA	0	0	12
CX3CL1	OID50531	NA	0	0	12
CXADR	OID50532	NA	0	0	12
CXCL17	OID50533	NA	0	0	12
CXCL8	OID50534	NA	0	0	12
CYB5R2	OID50535	NA	0	0	12
DAPK2	OID50536	NA	0	0	12
DAPP1	OID50537	NA	0	0	12
DBN1	OID50538	NA	0	0	12
DCN	OID50539	NA	0	0	12
DCPS	OID50540	NA	0	0	12
DCTN1	OID50541	NA	0	0	12
DCTN2	OID50542	NA	0	0	12
DECR1	OID50544	NA	0	0	12
DEFB103A_DEFB103B	OID50545	NA	0	0	12
DFFA	OID50546	NA	0	0	12
DGKA	OID50547	NA	0	0	12
DKK4	OID50548	NA	0	0	12
DLG4	OID50549	NA	0	0	12
DNAJA4	OID50550	NA	0	0	12
DNAJC6	OID50551	NA	0	0	12
DNM1	OID50552	NA	0	0	12
DNM3	OID50553	NA	0	0	12
DNMBP	OID50554	NA	0	0	12
DNPEP	OID50555	NA	0	0	12
DPEP1	OID50556	NA	0	0	12
DPEP2	OID50557	NA	0	0	12
DPP10	OID50558	NA	0	0	12
DPP6	OID50559	NA	0	0	12
DPY30	OID50560	NA	0	0	12
DRAXIN	OID50561	NA	0	0	12
DSG3	OID50562	NA	0	0	12
DTNB	OID50563	NA	0	0	12
DTX3	OID50564	NA	0	0	12
EBAG9	OID50565	NA	0	0	12
EBI3_IL27	OID50566	NA	0	0	12
ECE1	OID50567	NA	0	0	12
EDA2R	OID50568	NA	0	0	12
EDAR	OID50569	NA	0	0	12
EFHD2	OID50570	NA	0	0	12
EFNA4	OID50571	NA	0	0	12
EGFLAM	OID50572	NA	0	0	12
EGLN1	OID50573	NA	0	0	12
EIF2S2	OID50574	NA	0	0	12
EIF4E	OID50575	NA	0	0	12
EML4	OID50576	NA	0	0	12
ENDOU	OID50577	NA	0	0	12
ENPP6	OID50578	NA	0	0	12
ENTPD5	OID50579	NA	0	0	12
ENTPD6	OID50580	NA	0	0	12
EPHA2	OID50581	NA	0	0	12
EPHB6	OID50582	NA	0	0	12
EPS8L2	OID50583	NA	0	0	12
EREG	OID50584	NA	0	0	12
ERN1	OID50585	NA	0	0	12
ERP44	OID50586	NA	0	0	12
EVA1C	OID50587	NA	0	0	12
EVI5	OID50588	NA	0	0	12
F3	OID50589	NA	0	0	12
FAM3B	OID50590	NA	0	0	12
FAM3D	OID50591	NA	0	0	12
FASLG	OID50592	NA	0	0	12
FCAR	OID50593	NA	0	0	12
FCRL2	OID50594	NA	0	0	12
FCRL6	OID50595	NA	0	0	12
FGF2	OID50596	NA	0	0	12
FGF21	OID50597	NA	0	0	12
FGF23	OID50598	NA	0	0	12
FGFBP3	OID50599	NA	0	0	12
FKBP4	OID50600	NA	0	0	12
FKBP5	OID50601	NA	0	0	12
FKBPL	OID50602	NA	0	0	12
FLRT2	OID50603	NA	0	0	12
FLT3LG	OID50604	NA	0	0	12
FMNL1	OID50605	NA	0	0	12
FNDC1	OID50606	NA	0	0	12
FNTA	OID50607	NA	0	0	12
FOXO1	OID50608	NA	0	0	12
FRZB	OID50609	NA	0	0	12
FSTL1	OID50610	NA	0	0	12
FUT8	OID50611	NA	0	0	12
GALNT10	OID50612	NA	0	0	12
GALNT2	OID50613	NA	0	0	12
GBA1	OID50614	NA	0	0	12
GCNT1	OID50615	NA	0	0	12
GFRA1	OID50616	NA	0	0	12
GFRA2	OID50617	NA	0	0	12
GFRA3	OID50618	NA	0	0	12
GFRAL	OID50619	NA	0	0	12
GIT1	OID50621	NA	0	0	12
GLIPR1	OID50622	NA	0	0	12
GLRX2	OID50623	NA	0	0	12
GMPR	OID50624	NA	0	0	12
GOPC	OID50625	NA	0	0	12
GP2	OID50626	NA	0	0	12
GPA33	OID50627	NA	0	0	12
GPC1	OID50628	NA	0	0	12
GPC5	OID50629	NA	0	0	12
GPD1	OID50630	NA	0	0	12
GPIHBP1	OID50631	NA	0	0	12
GPR15LG	OID50632	NA	0	0	12
GPR37	OID50633	NA	0	0	12
GRP	OID50634	NA	0	0	12
GRPEL1	OID50635	NA	0	0	12
GZMA	OID50636	NA	0	0	12
GZMB	OID50637	NA	0	0	12
GZMH	OID50638	NA	0	0	12
HAO1	OID50639	NA	0	0	12
HAVCR1	OID50640	NA	0	0	12
HBEGF	OID50641	NA	0	0	12
HCLS1	OID50642	NA	0	0	12
HGF	OID50643	NA	0	0	12
HHEX	OID50644	NA	0	0	12
HLA-A	OID50645	NA	0	0	12
HMBS	OID50647	NA	0	0	12
HMOX2	OID50648	NA	0	0	12
HNMT	OID50649	NA	0	0	12
HNRNPUL1	OID50650	NA	0	0	12
HOMER3	OID50651	NA	0	0	12
HRC	OID50652	NA	0	0	12
HSD11B1	OID50653	NA	0	0	12
HSPA13	OID50654	NA	0	0	12
HSPB6	OID50656	NA	0	0	12
ICAM4	OID50657	NA	0	0	12
ICOSLG	OID50658	NA	0	0	12
IDO1	OID50659	NA	0	0	12
IDS	OID50660	NA	0	0	12
IDUA	OID50661	NA	0	0	12
IFI30	OID50662	NA	0	0	12
IFNAR1	OID50663	NA	0	0	12
IFNGR2	OID50664	NA	0	0	12
IFNLR1	OID50665	NA	0	0	12
IGBP1	OID50666	NA	0	0	12
IGF1R	OID50667	NA	0	0	12
IGFL4	OID50668	NA	0	0	12
IGSF3	OID50669	NA	0	0	12
IKBKG	OID50670	NA	0	0	12
IL12A_IL12B	OID50671	NA	0	0	12
IL12B	OID50672	NA	0	0	12
IL15	OID50673	NA	0	0	12
IL16	OID50674	NA	0	0	12
IL17RB	OID50675	NA	0	0	12
IL18R1	OID50676	NA	0	0	12
IL18RAP	OID50677	NA	0	0	12
IL22	OID50678	NA	0	0	12
IL23R	OID50679	NA	0	0	12
IL32	OID50680	NA	0	0	12
IL36G	OID50681	NA	0	0	12
IL4R	OID50682	NA	0	0	12
IL5RA	OID50683	NA	0	0	12
IL6	OID50684	NA	0	0	12
IL7	OID50685	NA	0	0	12
IMPA1	OID50686	NA	0	0	12
INPP1	OID50687	NA	0	0	12
INPP5D	OID50688	NA	0	0	12
INPPL1	OID50689	NA	0	0	12
INSL5	OID50690	NA	0	0	12
IPCEF1	OID50691	NA	0	0	12
IQGAP2	OID50692	NA	0	0	12
IRAG2	OID50693	NA	0	0	12
IRAK4	OID50694	NA	0	0	12
ISM1	OID50695	NA	0	0	12
ITGA11	OID50696	NA	0	0	12
ITGAL	OID50697	NA	0	0	12
ITGAV	OID50698	NA	0	0	12
ITGB1BP2	OID50699	NA	0	0	12
ITGB7	OID50700	NA	0	0	12
ITM2A	OID50701	NA	0	0	12
ITPR1	OID50702	NA	0	0	12
KEL	OID50703	NA	0	0	12
KHK	OID50704	NA	0	0	12
KIAA0319	OID50705	NA	0	0	12
KIF22	OID50706	NA	0	0	12
KIR2DL2_KIR2DL3	OID50707	NA	0	0	12
KLB	OID50708	NA	0	0	12
KLK13	OID50709	NA	0	0	12
KLK15	OID50711	NA	0	0	12
KLRB1	OID50712	NA	0	0	12
KLRD1	OID50713	NA	0	0	12
KLRK1	OID50714	NA	0	0	12
KRT19	OID50716	NA	0	0	12
KYNU	OID50717	NA	0	0	12
LAG3	OID50718	NA	0	0	12
LAIR2	OID50719	NA	0	0	12
LAMB1	OID50720	NA	0	0	12
LAMP3	OID50721	NA	0	0	12
LAT	OID50722	NA	0	0	12
LAT2	OID50723	NA	0	0	12
LATS1	OID50724	NA	0	0	12
LAYN	OID50725	NA	0	0	12
LCN15	OID50726	NA	0	0	12
LEFTY2	OID50727	NA	0	0	12
LGALS7	OID50728	NA	0	0	12
LIFR	OID50729	NA	0	0	12
LIPF	OID50730	NA	0	0	12
LMNB1	OID50731	NA	0	0	12
LMNB2	OID50732	NA	0	0	12
LMOD1	OID50733	NA	0	0	12
LPO	OID50734	NA	0	0	12
LRCH4	OID50735	NA	0	0	12
LRIG1	OID50736	NA	0	0	12
LRRC25	OID50737	NA	0	0	12
LRRC37A2	OID50738	NA	0	0	12
LTA4H	OID50739	NA	0	0	12
LUZP2	OID50740	NA	0	0	12
